Cluster_A,Cluster_B,Distance_km,total_population,num_businesses,total_boardings,Flow,Estimated_Flow,Optimized_Flow
32,79,27.535739000000003,3239,33,198990,1,28051924.85832474,28051924.85832474
32,80,26.265172,3239,9,198990,1,8408610.02345009,8408610.02345009
32,81,48.27978600000001,3239,32,198990,1,8848333.95574623,8848333.95574623
32,82,41.597276,3239,27,198990,1,10057179.018493285,10057179.018493285
32,83,183.850902,3239,631,198990,1,12032061.121644184,12032061.121644184
32,84,25.765921999999996,3239,262,198990,1,254361932.51190993,254361932.51190993
32,85,77.08905600000003,3239,782,198990,1,84813209.49408644,84813209.49408644
32,86,32.71329399999999,3239,23,198990,1,13852287.051402021,13852287.051402021
32,87,34.24197999999999,3239,23,198990,1,12643062.868552394,12643062.868552394
32,88,31.032580000000003,3239,19,198990,1,12716278.582870403,12716278.582870403
32,89,57.63009300000005,3239,60,198990,1,11643801.941357799,11643801.941357799
32,90,37.16419200000002,3239,954,198990,1,445185678.29341507,445185678.29341507
32,91,54.94175400000001,3239,159,198990,1,33949570.49518753,33949570.49518753
32,92,46.756493000000034,3239,33,198990,1,9729091.358516578,9729091.358516578
32,93,40.88174600000001,3239,462,198990,1,178166194.6982866,178166194.6982866
32,94,37.86398900000001,3239,55,198990,1,24725902.873038836,24725902.873038836
32,95,28.342064999999984,3239,502,198990,1,402793949.026649,402793949.026649
32,96,13.888210000000004,3239,11,198990,1,36757192.751981124,36757192.751981124
32,97,171.28805700000007,3239,144,198990,1,3163373.893213261,3163373.893213261
32,98,82.34830800000002,3239,1962,198990,1,186479820.58089256,186479820.58089256
32,99,30.116978999999997,3239,52,198990,1,36950705.21184141,36950705.21184141
32,100,39.85974400000001,3239,158,198990,1,64095903.94373138,64095903.94373138
32,101,171.28805700000007,3239,113,198990,1,2482369.7912020725,2482369.7912020725
32,102,48.96038700000003,3239,1,198990,1,268876.29560952476,268876.29560952476
32,103,76.7325910000001,3239,14,198990,1,1532535.3803604466,1532535.3803604466
32,104,35.621500999999995,3239,108,198990,1,54858196.318813436,54858196.318813436
32,105,71.93663400000008,3239,40,198990,1,4981979.839404735,4981979.839404735
32,106,20.939979,3239,178,198990,1,261643360.64105344,261643360.64105344
32,107,32.008327,3239,24,198990,1,15098280.563122509,15098280.563122509
32,108,4.866777,3239,11,198990,1,299331203.1397091,299331203.1397091
32,109,64.849829,3239,32,198990,1,4904271.535873059,4904271.535873059
32,110,15.430093,3239,9,198990,1,24363945.658681065,24363945.658681065
32,111,43.977213,3239,21,198990,1,6998518.07665404,6998518.07665404
32,112,41.25910000000001,3239,84,198990,1,31804017.625022464,31804017.625022464
32,113,76.60911700000004,3239,332,198990,1,36460227.181401335,36460227.181401335
32,114,81.64378500000004,3239,274,198990,1,26493937.173051436,26493937.173051436
32,115,35.192021,3239,36,198990,1,18735111.605845664,18735111.605845664
32,116,56.81098000000004,3239,761,198990,1,151971550.63415584,151971550.63415584
32,117,67.34508700000006,3239,34,198990,1,4831803.68257168,4831803.68257168
32,118,82.20150400000009,3239,36,198990,1,3433880.46767266,3433880.46767266
32,119,47.58198600000003,3239,154,198990,1,43840731.41982665,43840731.41982665
32,120,37.91768499999999,3239,55,198990,1,24655922.75679716,24655922.75679716
32,121,20.01409,3239,6,198990,1,9654321.419484725,9654321.419484725
32,122,75.24698900000008,3239,20,198990,1,2276637.8031680374,2276637.8031680374
32,123,49.49840399999998,3239,630,198990,1,165729705.06445053,165729705.06445053
32,124,74.89862200000005,3239,71,198990,1,8157421.3210514225,8157421.3210514225
32,125,53.39431000000005,3239,177,198990,1,40015247.661050014,40015247.661050014
32,126,5.887186000000001,3239,0,198990,1,0.0,0.0
32,127,171.28805700000007,3239,25,198990,1,549196.8564606356,549196.8564606356
32,128,31.501818,3239,60,198990,1,38969264.9689169,38969264.9689169
32,129,40.739224000000014,3239,37,198990,1,14368731.169955531,14368731.169955531
33,0,39.283298,1490,24,66787,1,1547652.889755765,1547652.889755765
33,1,23.736697,1490,201,66787,1,35500436.222742096,35500436.222742096
33,2,73.44395000000007,1490,16,66787,1,295179.4603266989,295179.4603266989
33,3,14.619936000000004,1490,334,66787,1,155501194.03398412,155501194.03398412
33,4,14.278924000000002,1490,26,66787,1,12689969.787845632,12689969.787845632
33,5,65.50594700000008,1490,27,66787,1,626153.063091448,626153.063091448
33,6,46.368053000000025,1490,17,66787,1,786845.3909918463,786845.3909918463
33,7,160.21391400000002,1490,45,66787,1,174457.74615522154,174457.74615522154
33,8,24.05255099999999,1490,285,66787,1,49023100.59960332,49023100.59960332
33,9,66.0785440000001,1490,8,66787,1,182325.43620045428,182325.43620045428
33,10,36.010632,1490,1130,66787,1,86715186.1696695,86715186.1696695
33,11,50.45144400000003,1490,84,66787,1,3284053.9909101287,3284053.9909101287
