Year,Holdeplassnavn,Holdeplassid,KommuneNavn,NsrQuayID,Longitude,Latitude,Snitt påstigende pr dag,Snitt avstigende pr dag,Snitt ombord pr dag,Totalt påstigende,Totalt avstigende
2024,Askeland,12637309,Alver,NSR:Quay:57548,"5,43487","60,65824",0,0,"1,1",2,0
2023,Askeland,12637310,Alver,NSR:Quay:57547,"5,43488","60,6583",0,0,"1,5",0,0
2024,Askeland,12637310,Alver,NSR:Quay:57547,"5,43488","60,6583",0,0,"1,2",0,0
2023,Askeland nord,12637311,Alver,NSR:Quay:57551,"5,43008","60,66015",0,0,"0,9",2,0
2024,Askeland nord,12637311,Alver,NSR:Quay:57551,"5,43008","60,66015",0,0,"1,1",1,0
2023,Askeland nord,12637312,Alver,NSR:Quay:57552,"5,43013","60,66021",0,0,"1,5",0,2
2024,Askeland nord,12637312,Alver,NSR:Quay:57552,"5,43013","60,66021",0,0,"1,2",0,0
2023,Askeland sør,12637307,Alver,NSR:Quay:57544,"5,43867","60,65617",0,0,"0,9",2,0
2024,Askeland sør,12637307,Alver,NSR:Quay:57544,"5,43867","60,65617",0,0,"1,1",0,0
2023,Askeland sør,12637308,Alver,NSR:Quay:57543,"5,43875","60,65621",0,0,"1,5",0,0
2024,Askeland sør,12637308,Alver,NSR:Quay:57543,"5,43875","60,65621",0,0,"1,2",0,0
2023,Askelandsvågen,12637313,Alver,NSR:Quay:57555,"5,42449","60,66229",0,0,"0,9",11,0
2024,Askelandsvågen,12637313,Alver,NSR:Quay:57555,"5,42449","60,66229",0,0,"1,1",1,0
2023,Askelandsvågen,12637314,Alver,NSR:Quay:57556,"5,42442","60,66242",0,0,"1,5",0,0
2024,Askelandsvågen,12637314,Alver,NSR:Quay:57556,"5,42442","60,66242",0,0,"1,2",0,0
2023,Asketoppen,12473527,Askøy,NSR:Quay:56418,"5,21232","60,4814",7,1,"48,0",724,69
2024,Asketoppen,12473527,Askøy,NSR:Quay:56418,"5,21232","60,4814",6,1,"49,0",466,43
2023,Asketoppen,12473530,Askøy,NSR:Quay:56419,"5,2125","60,48161",0,8,"39,5",17,858
2024,Asketoppen,12473530,Askøy,NSR:Quay:56419,"5,2125","60,48161",0,7,"40,0",26,585
2023,Askvik aust,12637245,Alver,NSR:Quay:57507,"5,46847","60,61576",0,0,"6,6",2,1
2024,Askvik aust,12637245,Alver,NSR:Quay:57507,"5,46847","60,61576",0,0,"6,7",3,0
2023,Askvik aust,12637250,Alver,NSR:Quay:57509,"5,46869","60,61575",0,0,"5,4",0,0
2024,Askvik aust,12637250,Alver,NSR:Quay:57509,"5,46869","60,61575",0,0,"6,1",0,4
2023,Askvik vest,12637243,Alver,NSR:Quay:57502,"5,46617","60,61292",0,0,"6,6",0,0
2024,Askvik vest,12637243,Alver,NSR:Quay:57502,"5,46617","60,61292",0,0,"6,8",1,0
2023,Askvik vest,12637248,Alver,NSR:Quay:57503,"5,46636","60,61286",0,0,"5,4",3,2
2024,Askvik vest,12637248,Alver,NSR:Quay:57503,"5,46636","60,61286",0,0,"6,1",1,2
2023,Askøy helsetun,12472355,Askøy,NSR:Quay:56083,"5,22119","60,4126",14,5,"322,4",1497,545
2024,Askøy helsetun,12472355,Askøy,NSR:Quay:56083,"5,22119","60,4126",14,6,"367,6",1147,454
2023,Askøy helsetun,12472370,Askøy,NSR:Quay:56084,"5,22098","60,41282",9,27,"346,4",937,2831
2024,Askøy helsetun,12472370,Askøy,NSR:Quay:56084,"5,22098","60,41282",7,20,"370,5",157,441
2023,Askøy senter,12472365,Askøy,NSR:Quay:56105,"5,20398","60,42281",45,15,"281,7",4731,1540
2024,Askøy senter,12472365,Askøy,NSR:Quay:56105,"5,20398","60,42281",45,13,"322,7",3562,1033
2023,Askøy senter,12472382,Askøy,NSR:Quay:56106,"5,20269","60,42297",15,47,"259,0",1560,4889
2024,Askøy senter,12472382,Askøy,NSR:Quay:56106,"5,20269","60,42297",13,44,"286,0",1074,3509
